CustomerID,PhoneNum,Email,,State,Country,Gender,Upd_JoinDate,Upd_LastPurchDate,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Upd_AccCreationDate,AccountStatus,Upd_LastUpdateDate,Updated_Referrer_Id,Domain of mail,Sum of Age,Sum of TotalSpent,Sum of LoyaltyPoints,Sum of PurchaseFrequency,Sum of FeedbackRating,Sum of OrderWise
Cust_1,173-884-4679,robert.grant@gmail.com,,Texas,Morocco,Female,11-Feb-24,23-Oct-24,Gold,Credit Card,Single,23-Oct-24,Active,21-Feb-24,Cust_5439,gmail.com,64,762.36,250,2,2.9,1
Cust_2,001-463-4084,alyssa.rodriguez@gmail.com,,Oklahoma,Vanuatu,Female,23-Apr-24,23-Oct-24,Others,Credit Card,Others,07-Oct-24,Active,05-Mar-24,Cust_6900,gmail.com,44,2420.65,250,6,1.4,2
Cust_3,001-735-5751,cody.huff@gmail.com,,Tennessee,El Salvador,Female,09-Apr-24,09-Jul-24,Platinum,Cash,Married,19-Jul-24,Active,10-Oct-24,Cust_7180,gmail.com,44,2329.57,250,6,1.9,3
Cust_4,488-878-1214,daniel.weber@gmail.com,,Indiana,Northern Mariana Islands,Female,11-Apr-24,31-Jul-24,Platinum,Credit Card,Divorced,02-Jul-24,Active,02-Jun-24,Cust_4,gmail.com,44,4726.23,369,6,2.9,4
Cust_5,280-651-8579,nicole.kennedy@gmail.com,,Wisconsin,British Virgin Islands,Male,23-Oct-24,23-Oct-24,Silver,Debit Card,Divorced,11-May-24,Active,29-Feb-24,Cust_7421,gmail.com,39,7938.49,250,6,4.1,5
Cust_6,359-921-8444,joseph.robinson@gmail.com,,New Mexico,Central African Republic,Female,23-Oct-24,23-Oct-24,Gold,PayPal,Single,23-Oct-24,Active,31-May-24,Cust_6,gmail.com,52,6003.36,279,6,4.7,6
Cust_7,477-836-6698,jennifer.butler@yahoo.com,,Pennsylvania,French Polynesia,Female,23-Oct-24,23-Oct-24,Gold,Cash,Married,30-Apr-24,Active,21-Aug-24,Cust_7,yahoo.com,30,5387.02,250,6,2.9,7
Cust_8,001-519-6749,charles.nelson@gmail.com,,Wyoming,Montserrat,Female,07-Aug-24,23-Oct-24,Gold,Debit Card,Single,20-Jan-24,Active,29-Jan-24,Cust_8,gmail.com,64,2720.93,192,5,2.9,8
Cust_9,001-941-7918,amy.baker@gmail.com,,Kansas,Slovenia,Male,23-Oct-24,23-Oct-24,Bronze,Credit Card,Married,09-Sep-24,Inactive,29-Jul-24,Cust_9,gmail.com,58,1156.94,433,10,2.9,9
Cust_10,001-738-6148,alexander.james@gmail.com,,Arizona,Bhutan,Male,13-Oct-24,23-Oct-24,Platinum,Credit Card,Others,28-Jul-24,Inactive,07-Sep-24,Cust_2194,gmail.com,34,4990.28,222,6,2.2,10
Cust_11,709-500-4382,shane.snyder@yahoo.com,,Colorado,Brazil,Female,14-Jul-24,23-Oct-24,Platinum,PayPal,Married,23-Oct-24,Active,26-Mar-24,Cust_11,yahoo.com,62,7402.54,453,6,1,11
Cust_12,314-634-4908,aaron.smith@gmail.com,,Tennessee,Armenia,Female,23-Oct-24,27-Jun-24,Bronze,Credit Card,Others,09-Jun-24,Active,08-Sep-24,Cust_8518,gmail.com,37,8250.04,250,6,4.7,12
Cust_13,259-511-8882,christian.johnson@gmail.com,,Kansas,French Guiana,Other,23-Oct-24,23-Oct-24,Gold,PayPal,Others,04-Sep-24,Active,26-May-24,Cust_13,gmail.com,44,6437.89,250,8,3.6,13
Cust_14,001-506-3144,lindsey.landry@gmail.com,,Nevada,Saint Martin,Other,23-Oct-24,23-Oct-24,Gold,Debit Card,Married,12-May-24,Active,28-May-24,Cust_7101,gmail.com,37,4516.81,3,6,2.9,14
