CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,ZipCode,Gender,Age,JoinDate,LastPurchaseDate,TotalSpent,LoyaltyPoints,PurchaseFrequency,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Education,Occupation,Hobbies,AccountCreationDate,AccountStatus,LastUpdated,Notes,ReferrerID,PromotionalEmails,FeedbackRating
Cust_1,Robert,Huynh,robert.grant@gmail.com,+1-738-844-6793x40856,"0542 Yoder Terrace North Tiffanyshire, GU 80448",Jenkinsburgh,Texas,Morocco,,Female,64,11-02-2024,,762.36,,2,Gold,Credit Card,Single,,Other,Reading,,,21-02-2024,,Cust_5439,TRUE,
Cust_2,Betty,Holmes,alyssa.rodriguez@None,001-463-408-4110,"408 Benson Ranch Brennanshire, GU 66288",Patrickbury,Oklahoma,Vanuatu,78094,Female,,23-04-2024,,2420.65,,,,Credit Card,,Bachelor,,Reading,07-10-2024,Active,05-03-2024,,Cust_6900,FALSE,1.4
Cust_3,Henry,Lee,cody.huff@gmail.com,001-735-575-1807x9070,"4785 Richard Squares Apt. 926 Anneport, NH 01175",South Kimberlyton,Tennessee,El Salvador,,Female,,09-04-2024,09-07-2024,2329.57,,,Platinum,,Married,Bachelor,,Reading,19-07-2024,,10-10-2024,,Cust_7180,TRUE,1.9
Cust_4,Ashley,Mason,daniel.weber@None,488.878.1214x904,"703 Bray Mills Jenkinsstad, ME 91047",Lopezview,Indiana,Northern Mariana Islands,,Female,,11-04-2024,31-07-2024,4726.23,369,,Platinum,Credit Card,Divorced,High School,Doctor,,02-07-2024,Active,02-06-2024,,,FALSE,
Cust_5,Joshua,Jordan,nicole.kennedy@gmail.com,2806518579,"472 James Summit Suite 131 Kevinfurt, NJ 85228",New Emilybury,Wisconsin,British Virgin Islands,67069,Male,39,,,7938.49,,,Silver,Debit Card,Divorced,High School,Teacher,,11-05-2024,Active,29-02-2024,Practice federal.,Cust_7421,FALSE,4.1
Cust_6,Jonathan,Cox,joseph.robinson@None,359-921-8444,"75213 Martinez Ford Suite 218 Lake Kristine, NM 86645",West Michellefort,New Mexico,Central African Republic,83551,Female,52,,,6003.36,279,,Gold,PayPal,Single,Bachelor,Doctor,Music,,Active,31-05-2024,,,TRUE,4.7
Cust_7,Beth,Jones,jennifer.butler@yahoo.com,(477)836-6698,"459 Melinda Hill North Megan, FM 12332",Ramirezview,Pennsylvania,French Polynesia,,Female,30,,,5387.02,,,Gold,,Married,Master,Engineer,Sports,30-04-2024,,21-08-2024,,,TRUE,
Cust_8,Carolyn,Graham,charles.nelson@gmail.com,001-519-674-9319x622,"838 Allen Shores Apt. 344 Lake Amyton, MA 38992",Petersmouth,Wyoming,Montserrat,,Female,64,07-08-2024,,2720.93,192,5,Gold,Debit Card,Single,Bachelor,Doctor,Sports,20-01-2024,,29-01-2024,,,TRUE,
Cust_9,Robert,Delacruz,amy.baker@None,001-941-791-8805x39623,"96030 Harper Hills Suite 537 Morganborough, RI 65455",Perezborough,Kansas,Slovenia,,Male,58,,,1156.94,433,10,Bronze,Credit Card,Married,Bachelor,Doctor,Music,09-09-2024,Inactive,29-07-2024,Every race serve.,,TRUE,
Cust_10,Margaret,Patel,alexander.james@gmail.com,001-738-614-8513,"423 Yvonne Run Apt. 979 Terrimouth, MD 54200",Alexanderborough,Arizona,Bhutan,,Male,34,13-10-2024,,4990.28,222,,Platinum,Credit Card,,High School,Teacher,,28-07-2024,Inactive,07-09-2024,Something must.,Cust_2194,FALSE,2.2
